                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.44706,                 0.3125,                 1.4941,                0.75809,                0.72204,                0.73095,                0.61017,                0.67138,                0.91642,                 1.7598,               0.001001,               0.001001,               0.001001
                    132,                0.45187,                 0.3119,                 1.4988,                0.65638,                 0.7854,                0.73803,                0.61476,                0.65002,                0.94315,                 1.7377,              0.0010002,              0.0010002,              0.0010002
                    133,                0.44617,                0.30932,                 1.5054,                0.69045,                0.78354,                0.73729,                0.61655,                0.65373,                0.88082,                 1.7469,             0.00099932,             0.00099932,             0.00099932
                    134,                0.45398,                0.32148,                 1.4933,                0.68156,                0.77042,                0.73526,                0.61282,                0.67249,                0.91741,                 1.7408,             0.00099847,             0.00099847,             0.00099847
                    135,                0.46356,                 0.3205,                 1.4916,                0.72723,                0.75068,                0.74404,                0.61997,                0.65797,                0.89437,                 1.7441,             0.00099763,             0.00099763,             0.00099763
                    136,                0.44772,                0.31432,                  1.496,                0.74715,                0.70675,                0.74001,                0.61942,                0.65601,                0.89323,                 1.7598,             0.00099678,             0.00099678,             0.00099678
                    137,                 0.4636,                0.30989,                 1.4937,                0.67752,                0.78943,                0.73635,                0.61184,                0.67546,                0.89218,                 1.7592,             0.00099593,             0.00099593,             0.00099593
                    138,                0.46756,                0.31661,                 1.4873,                0.74113,                0.69634,                0.72074,                0.60428,                 0.6531,                0.89357,                  1.791,             0.00099509,             0.00099509,             0.00099509
                    139,                0.44946,                0.30398,                 1.4945,                0.66453,                0.81444,                0.74909,                0.62734,                0.64373,                0.89371,                 1.7489,             0.00099424,             0.00099424,             0.00099424
                    140,                0.44606,                0.30531,                 1.4856,                0.71921,                0.71263,                0.72806,                0.61186,                0.65996,                0.91379,                  1.773,              0.0009934,              0.0009934,              0.0009934
                    141,                0.43823,                0.30159,                 1.4789,                0.65949,                0.77665,                0.72723,                0.60817,                0.66167,                0.92513,                 1.8306,             0.00099255,             0.00099255,             0.00099255
                    142,                0.43751,                0.30553,                 1.4784,                0.66651,                0.77771,                0.72801,                0.60981,                0.65958,                0.96626,                 1.7571,              0.0009917,              0.0009917,              0.0009917
                    143,                0.44326,                0.31268,                 1.5031,                0.66554,                0.76336,                0.70143,                0.58327,                0.65537,                0.94919,                 1.7571,             0.00099086,             0.00099086,             0.00099086
                    144,                0.43241,                0.30173,                 1.4955,                0.71144,                0.76956,                0.74526,                0.62204,                0.64512,                0.87231,                 1.7399,             0.00099001,             0.00099001,             0.00099001
                    145,                0.43313,                0.30052,                 1.4814,                0.69288,                0.74626,                0.73014,                0.61195,                0.65311,                0.89626,                 1.7913,             0.00098917,             0.00098917,             0.00098917
                    146,                0.45103,                0.31588,                 1.4837,                0.67545,                0.77307,                0.74731,                0.62313,                0.66653,                0.86733,                 1.7487,             0.00098832,             0.00098832,             0.00098832
                    147,                0.43597,                 0.2997,                 1.4835,                0.74133,                0.72974,                0.74398,                0.61996,                0.65428,                0.88546,                 1.7362,             0.00098747,             0.00098747,             0.00098747
                    148,                0.43264,                0.30354,                 1.4821,                0.70733,                0.74271,                0.74961,                0.62875,                0.65236,                0.86805,                 1.7723,             0.00098663,             0.00098663,             0.00098663
                    149,                0.43329,                0.30848,                 1.4814,                0.66202,                 0.7753,                0.72887,                0.60558,                0.66232,                 0.9844,                 1.8023,             0.00098578,             0.00098578,             0.00098578
                    150,                0.43388,                0.30213,                  1.486,                0.67962,                0.79553,                0.75415,                0.63201,                0.66266,                 0.9032,                 1.7974,             0.00098494,             0.00098494,             0.00098494
                    151,                0.43847,                0.30905,                 1.4936,                0.69118,                 0.7394,                0.73027,                0.61394,                0.65804,                0.96931,                 1.7276,             0.00098409,             0.00098409,             0.00098409
                    152,                0.43148,                0.30515,                 1.4908,                0.66507,                0.76282,                 0.7275,                0.60898,                0.66499,                0.92106,                 1.7545,             0.00098324,             0.00098324,             0.00098324
                    153,                0.43479,                0.30031,                 1.4816,                 0.6753,                 0.7276,                0.70356,                0.59058,                0.66105,                0.90026,                 1.7561,              0.0009824,              0.0009824,              0.0009824
