                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.45641,                0.33009,                 1.3676,                0.73207,                0.62966,                0.61472,                0.51834,                0.56057,                0.74445,                 1.6729,              0.0010569,              0.0010569,              0.0010569
                     66,                0.46179,                0.32729,                 1.3348,                0.73207,                0.62966,                0.61472,                0.51834,                0.56057,                0.74445,                 1.6729,               0.001056,               0.001056,               0.001056
                     67,                 0.4609,                 0.3321,                 1.4389,                0.73073,                0.63724,                0.60893,                0.52031,                0.54484,                0.73508,                 1.7364,              0.0010552,              0.0010552,              0.0010552
                     68,                0.43502,                0.31277,                 1.4154,                0.72732,                0.62845,                0.60716,                0.51711,                0.54713,                0.77939,                 1.6979,              0.0010543,              0.0010543,              0.0010543
                     69,                0.41654,                0.31767,                 1.3898,                0.72732,                0.62845,                0.60716,                0.51711,                0.54713,                0.77939,                 1.6979,              0.0010535,              0.0010535,              0.0010535
                     70,                0.46405,                0.35264,                  1.444,                0.76118,                0.61633,                0.62221,                0.52841,                0.55047,                 0.7295,                 1.7854,              0.0010526,              0.0010526,              0.0010526
                     71,                0.44636,                0.31398,                 1.4688,                0.75455,                0.61615,                 0.6207,                 0.5276,                0.53698,                 0.7357,                 1.7023,              0.0010518,              0.0010518,              0.0010518
                     72,                 0.4301,                0.33243,                 1.3501,                0.75455,                0.61615,                 0.6207,                 0.5276,                0.53698,                 0.7357,                 1.7023,              0.0010509,              0.0010509,              0.0010509
                     73,                0.43254,                0.31977,                 1.4517,                0.56296,                0.61309,                0.62216,                0.53039,                0.53155,                0.72554,                 1.7693,              0.0010501,              0.0010501,              0.0010501
                     74,                 0.4278,                0.31445,                 1.4201,                0.56296,                0.61309,                0.62216,                0.53039,                0.53155,                0.72554,                 1.7693,              0.0010492,              0.0010492,              0.0010492
                     75,                0.41403,                0.30274,                 1.3693,                0.54529,                0.63827,                0.62203,                0.53194,                0.53499,                0.73542,                 1.7168,              0.0010484,              0.0010484,              0.0010484
                     76,                0.41203,                0.28882,                 1.3516,                0.74977,                0.64337,                0.62338,                0.53267,                0.54396,                0.74002,                 1.7437,              0.0010475,              0.0010475,              0.0010475
                     77,                0.42259,                0.30151,                  1.355,                0.74977,                0.64337,                0.62338,                0.53267,                0.54396,                0.74002,                 1.7437,              0.0010467,              0.0010467,              0.0010467
                     78,                0.41329,                0.28562,                 1.3406,                0.54778,                0.64982,                0.62183,                0.53204,                0.54231,                0.74302,                 1.7271,              0.0010459,              0.0010459,              0.0010459
                     79,                0.42366,                0.30534,                 1.3844,                0.54823,                0.63802,                0.61524,                0.52889,                0.54565,                 0.7497,                 1.7989,               0.001045,               0.001045,               0.001045
                     80,                0.41102,                0.29864,                 1.3456,                0.54823,                0.63802,                0.61524,                0.52889,                0.54565,                 0.7497,                 1.7989,              0.0010442,              0.0010442,              0.0010442
                     81,                0.42021,                0.30515,                 1.4054,                0.54454,                0.64991,                0.62064,                0.53327,                0.54768,                0.73252,                 1.7458,              0.0010433,              0.0010433,              0.0010433
                     82,                0.41275,                0.31713,                 1.3405,                0.54454,                0.64991,                0.62064,                0.53327,                0.54768,                0.73252,                 1.7458,              0.0010425,              0.0010425,              0.0010425
                     83,                0.42145,                0.31019,                 1.3755,                0.73926,                  0.642,                0.62395,                0.53303,                0.54998,                 0.7455,                 1.7292,              0.0010416,              0.0010416,              0.0010416
                     84,                0.39322,                0.28817,                  1.304,                0.76702,                0.60062,                0.61558,                0.52626,                0.54799,                0.76879,                 1.7407,              0.0010408,              0.0010408,              0.0010408
                     85,                0.40163,                0.28721,                 1.3163,                0.76702,                0.60062,                0.61558,                0.52626,                0.54799,                0.76879,                 1.7407,              0.0010399,              0.0010399,              0.0010399
                     86,                0.40587,                0.27722,                 1.4038,                0.74119,                0.62323,                0.61184,                0.52046,                0.53467,                0.75398,                  1.766,              0.0010391,              0.0010391,              0.0010391
                     87,                0.40304,                0.28696,                 1.3191,                0.74134,                0.62566,                0.61195,                0.51679,                0.54986,                  0.754,                 1.7742,              0.0010382,              0.0010382,              0.0010382
                     88,                0.39906,                0.29751,                 1.3609,                0.74134,                0.62566,                0.61195,                0.51679,                0.54986,                  0.754,                 1.7742,              0.0010374,              0.0010374,              0.0010374
                     89,                0.39506,                0.28928,                 1.3592,                0.76882,                0.59751,                0.61366,                0.51995,                0.54627,                0.75191,                 1.7818,              0.0010365,              0.0010365,              0.0010365
                     90,                0.39214,                0.27042,                 1.2989,                0.76882,                0.59751,                0.61366,                0.51995,                0.54627,                0.75191,                 1.7818,              0.0010357,              0.0010357,              0.0010357
                     91,                0.42456,                0.30693,                 1.3667,                0.75891,                0.60321,                0.60866,                0.51952,                0.55049,                0.77921,                 2.1113,              0.0010349,              0.0010349,              0.0010349
                     92,                0.40999,                0.28757,                 1.3846,                0.75903,                0.59792,                0.60439,                0.51797,                0.54589,                0.79459,                 1.9743,               0.001034,               0.001034,               0.001034
                     93,                0.43711,                0.31542,                 1.4112,                0.75903,                0.59792,                0.60439,                0.51797,                0.54589,                0.79459,                 1.9743,              0.0010332,              0.0010332,              0.0010332
                     94,                0.41338,                 0.2978,                 1.3921,                 0.7363,                0.62201,                0.60432,                0.51778,                0.55708,                0.79863,                 1.7851,              0.0010323,              0.0010323,              0.0010323
                     95,                0.40242,                0.30449,                 1.3345,                0.54338,                0.62391,                0.60792,                0.51872,                0.55694,                0.75847,                 1.7791,              0.0010315,              0.0010315,              0.0010315
                     96,                0.40943,                0.28572,                 1.3535,                0.54338,                0.62391,                0.60792,                0.51872,                0.55694,                0.75847,                 1.7791,              0.0010306,              0.0010306,              0.0010306
                     97,                0.40808,                0.28939,                 1.3198,                0.76156,                 0.6037,                0.60961,                0.51666,                0.54794,                0.75761,                 1.7322,              0.0010298,              0.0010298,              0.0010298
                     98,                0.43325,                0.30685,                 1.2724,                0.76156,                 0.6037,                0.60961,                0.51666,                0.54794,                0.75761,                 1.7322,              0.0010289,              0.0010289,              0.0010289
                     99,                0.40501,                0.29087,                 1.3685,                0.74634,                0.61405,                0.60547,                0.51186,                0.54454,                0.76296,                 1.9059,              0.0010281,              0.0010281,              0.0010281
                    100,                0.39324,                0.28852,                 1.3277,                0.73602,                0.63158,                0.60301,                0.50813,                 0.5481,                0.76212,                 1.8571,              0.0010272,              0.0010272,              0.0010272
                    101,                 0.4233,                0.30735,                  1.343,                0.73602,                0.63158,                0.60301,                0.50813,                 0.5481,                0.76212,                 1.8571,              0.0010264,              0.0010264,              0.0010264
                    102,                0.41662,                0.29688,                 1.2781,                0.53457,                0.62207,                0.60051,                0.50818,                0.54768,                0.76902,                 1.7734,              0.0010255,              0.0010255,              0.0010255
